<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,1,20180904,09:54:00,227.0900000,227.1400000,226.9300000,226.9600000,10333
US2.AAPL,1,20180904,09:55:00,226.9500000,226.9800000,226.8500000,226.9500000,9815
US2.AAPL,1,20180904,09:56:00,226.9400000,227.2600000,226.9300000,227.2600000,18775
US2.AAPL,1,20180904,09:57:00,227.2200000,227.3900000,227.1000000,227.3600000,9448
US2.AAPL,1,20180904,09:58:00,227.3200000,227.3200000,227.2000000,227.2200000,5300
US2.AAPL,1,20180904,09:59:00,227.2400000,227.2900000,227.1000000,227.1800000,8300
US2.AAPL,1,20180904,10:00:00,227.2000000,227.2100000,226.9500000,226.9600000,5125
US2.AAPL,1,20180904,10:01:00,226.9800000,227.4400000,226.9200000,227.3900000,7600
US2.AAPL,1,20180904,10:02:00,227.3600000,227.3700000,227.2500000,227.3400000,4449
US2.AAPL,1,20180904,10:03:00,227.3300000,227.5300000,227.2400000,227.5300000,12002
US2.AAPL,1,20180904,10:04:00,227.5200000,227.5500000,227.4900000,227.5200000,7877
US2.AAPL,1,20180904,10:05:00,227.5200000,227.5400000,227.3000000,227.3000000,6800
US2.AAPL,1,20180904,10:06:00,227.2800000,227.4100000,227.1800000,227.2300000,6600
US2.AAPL,1,20180904,10:07:00,227.2700000,227.3900000,227.2200000,227.3700000,4800
US2.AAPL,1,20180904,10:08:00,227.3300000,227.5800000,227.3300000,227.5100000,7900
US2.AAPL,1,20180904,10:09:00,227.5200000,227.7500000,227.5200000,227.6900000,12179
US2.AAPL,1,20180904,10:10:00,227.6500000,227.7000000,227.6000000,227.6500000,10500
US2.AAPL,1,20180904,10:11:00,227.6500000,227.7500000,227.5600000,227.5700000,6690
US2.AAPL,1,20180904,10:12:00,227.5700000,227.6000000,227.4700000,227.5600000,6310
US2.AAPL,1,20180904,10:13:00,227.5600000,227.7900000,227.5600000,227.7400000,11455
US2.AAPL,1,20180904,10:14:00,227.7300000,227.9100000,227.7300000,227.8700000,9347
US2.AAPL,1,20180904,10:15:00,227.8500000,228.1000000,227.8500000,228.0000000,18683
US2.AAPL,1,20180904,10:16:00,228.0100000,228.1400000,227.9900000,227.9900000,8027
US2.AAPL,1,20180904,10:17:00,227.9800000,228.0900000,227.9100000,228.0900000,10474
US2.AAPL,1,20180904,10:18:00,228.0800000,228.3100000,228.0300000,228.2300000,8113
US2.AAPL,1,20180904,10:19:00,228.2300000,228.2300000,228.0700000,228.1000000,5374
US2.AAPL,1,20180904,10:20:00,228.1000000,228.1600000,227.9700000,228.0900000,7949
US2.AAPL,1,20180904,10:21:00,228.0900000,228.1800000,227.9700000,227.9700000,6638
US2.AAPL,1,20180904,10:22:00,227.9900000,228.0600000,227.9100000,228.0600000,8600
US2.AAPL,1,20180904,10:23:00,228.1000000,228.1000000,227.9400000,228.0000000,3971
US2.AAPL,1,20180904,10:24:00,228.0200000,228.0900000,228.0100000,228.0400000,2800
US2.AAPL,1,20180904,10:25:00,228.0500000,228.1700000,228.0500000,228.1700000,10800
US2.AAPL,1,20180904,10:26:00,228.1500000,228.1500000,227.8500000,227.8600000,9044
US2.AAPL,1,20180904,10:27:00,227.8700000,227.9300000,227.8400000,227.8600000,6000
US2.AAPL,1,20180904,10:28:00,227.8800000,227.9900000,227.8500000,227.8600000,4540
US2.AAPL,1,20180904,10:29:00,227.8800000,227.8800000,227.6100000,227.6300000,9779
US2.AAPL,1,20180904,10:30:00,227.6200000,227.6900000,227.5600000,227.6800000,6615
US2.AAPL,1,20180904,10:31:00,227.6900000,227.6900000,227.4900000,227.5200000,6767
US2.AAPL,1,20180904,10:32:00,227.5100000,227.6600000,227.4700000,227.6500000,5548
US2.AAPL,1,20180904,10:33:00,227.6800000,227.7300000,227.6000000,227.6500000,4900
US2.AAPL,1,20180904,10:34:00,227.6500000,227.8000000,227.6100000,227.8000000,3735
US2.AAPL,1,20180904,10:35:00,227.8900000,227.9700000,227.8200000,227.8200000,5737
